Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ANTONIO LUIZ VALIATI,32036060,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PROJETADA, SNº JARDIM TROPICAL. 29162-010 Serra - ES.",(27) 21414796,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.2009077,-40.2740201
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ARLINDO FERREIRA LOPES,32036086,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ELIAS TOMAS, SN BOA VISTA I. 29161-026 Serra - ES.",(27) 988957872,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.2342048,-40.2792937
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF CARAPEBUS,32036094,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CORONEL EDGAR, SN PRAIA DE CARAPEBUS. 29164-460 Serra - ES.",(27) 32388687,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-20.2313548,-40.2163892
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM D JOAO BATISTA DA MOTTA E ALBUQUERQUE,32036116,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MARIA DE FATIMA DA COSTA, SN ANDRE CARLONI. 29161-828 Serra - ES.",(27) 32281588,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.2271484,-40.2805104
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ELICE BAPTISTA GAUDIO,32036124,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA TULIPAS, SN PREDIO PROPRIO. SERRA DOURADA II. 29171-233 Serra - ES.",(27) 30510058,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.1411661,-40.2451831
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF JONES JOSE DO NASCIMENTO,32036167,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DISTRITO FEDERAL, 03 CENTRAL DE CARAPINA. 29161-567 Serra - ES.",(27) 32280490,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.2169749,-40.2754914
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF JUDITH LEAO CASTELO RIBEIRO,32036175,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MIGUEL JOSE, SN PITANGA. 29169-830 Serra - ES.",(27) 32826164,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-20.1700994,-40.2804005
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF MANOEL LOPES,32036183,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 13 DE MAIO, SN TAQUARA II. 29167-647 Serra - ES.",(27) 998367608,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-20.1793364,-40.258642
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM MARIA PENEDO,32036191,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA GUARAPARI, SN VALPARAISO. 29165-791 Serra - ES.",(27) 32418370,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.19844192,-40.26159623
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM MARINETE DE SOUZA LIRA,32036205,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA VITORIA-REGIA, SN FEU ROSA. 29172-075 Serra - ES.",(27) 30959295,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-20.175235,-40.2080685
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM MARINGA,32036213,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DEZESSETE, SN MARINGA. 29168-308 Serra - ES.",(27) 30335554,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-20.165785,-40.2526101
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM MESTRE ALVARO,32036221,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA RIO DOCE, SN ELDORADO. 29169-400 Serra - ES.",(27) 33411050,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-20.1474405,-40.2639685
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM NOVA CARAPINA,32036442,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PATOS DE MINAS, SN NOVA CARAPINA II. 29170-197 Serra - ES.",(27) 32517975,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-20.1534248,-40.2658962
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM MARIA JOSE ZOUAIN DE MIRANDA,32036477,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA GUARAPARI, SN JARDIM LIMOEIRO. 29164-120 Serra - ES.",(27) 32282813,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-20.20492789,-40.26344191
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PROF JURACI MACHADO,32036493,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA SANTAREM, SN BARCELONA. 29166-400 Serra - ES.",(27) 31020644,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.1748239,-40.243952
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ROMULO CASTELLO,32036523,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DA INDEPENDENCIA, SN ROSARIO DE FATIMA. 29160-050 Serra - ES.",(27) 32281385,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-20.2311466,-40.2730487
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM SIZENANDO PECHINCHA,32036531,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA OLINDA, SN PREDIO. BARCELONA. 29166-027 Serra - ES.",(27) 996516080,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.171372,-40.2582297
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF TAQUARA I,32036540,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOS BEIJA FLORES, SN TAQUARA I. 29167-803 Serra - ES.",(27) 999403178,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.1850484,-40.26259597
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM BELMIRO TEIXEIRA PIMENTA,32036558,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DAS PERDIZES, SN EURICO SALLES. 29160-182 Serra - ES.",(27) 32281348,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-20.2377402,-40.2762903
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM CLOTILDE RATO,32036566,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RUI BARBOSA, 451 BAIRRO DE FATIMA. 29160-771 Serra - ES.",(27) 30993450,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,"Atendimento Educacional Especializado, Atividade Complementar",-20.2474956,-40.2644607
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM IRACEMA CONCEICAO SILVA,32036574,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GUIMARAES ROSA, SN CHACARA PARREIRAL. 29164-360 Serra - ES.",(27) 30804580,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.2055313,-40.2491967
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PROF HILDA MIRANDA NASCIMENTO,32036582,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA BRASILIA, SN PORTO CANOA. 29168-600 Serra - ES.",(27) 33411068,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-20.1520369,-40.2514087
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM FRANCISCO NASCIMENTO,32037163,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA E, 215 CASTELANDIA. 29172-639 Serra - ES.",(27) 32521762,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.1590283,-40.1870433
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM GERMANO ANDRE LUBE,32037171,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GOITACAZES, SN DAS LARANJEIRAS. 29175-597 Serra - ES.",(27) 32523959,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.1265411,-40.1871173
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM JACARAIPE,32037180,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GUACYRA, 713 JARDIM ATLANTICO. 29175-256 Serra - ES.",(27) 32524482,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.1390353,-40.1917817
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM SILVIO EGITO SOBRINHO,32037260,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA PRINCIPAL, S/Nº SOLAR DE ANCHIETA. 29162-825 Serra - ES.",(27) 33182345,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-20.1974805,-40.2782487
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM LARANJEIRAS,32037350,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA CORONEL MANOEL NUNES, SN ESCOLA LARANJEIRAS. LARANJEIRAS VELHA. 29162-010 Serra - ES.",(27) 32815714,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.1844044,-40.2694572
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ARISTOBULO BARBOSA LEAO,32037368,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA DES MARIO DA SILVA NUNES, 1000 JARDIM LIMOEIRO. 29164-044 Serra - ES.",(27) 33283613,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-20.2091087,-40.2626781
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF VIRGINIO PEREIRA,32037473,ES,Serra,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA EDVALDO LIMA, SN NOVA ALMEIDA CENTRO. 29182-050 Serra - ES.",(27) 988424690,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.0578881,-40.1910055
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM MARIA DE NOVAES PINHEIRO,32037775,ES,Viana,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SANTA HELENA, 125 VILA BETHANIA. 29136-013 Viana - ES.",(27) 32552049,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-20.361616,-40.4046052
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM NELSON VIEIRA PIMENTEL,32037791,ES,Viana,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOUTOR OLIVAL PIMENTEL, 124 ESCOLA. CENTRO VIANA. 29130-145 Viana - ES.",(27) 32557051,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-20.3915561,-40.4964838
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM TERRA VERMELHA,32038461,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA E, SN QUADRA 02. TERRA VERMELHA. 29127-320 Vila Velha - ES.",(27) 998922854,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.4451476,-40.3520862
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM AGENOR DE SOUZA LE,32038488,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ALAN KARDEC, SN DIVINO ESPIRITO SANTO. 29107-240 Vila Velha - ES.",(27) 32291604,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.3461491,-40.2988379
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM FRANCELINA CARNEIRO SETUBAL,32038496,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA LEOPOLDINA, SN AO LADO DO CARONE. COQUEIRAL DE ITAPARICA. 29102-375 Vila Velha - ES.",(27) 33492311,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.37256204,-40.30759681
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM LUIZ MANOEL VELLOZO,32038500,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MOURISCO, SN GLORIA. 29122-070 Vila Velha - ES.",(27) 32291964,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-20.3324153,-40.3126002
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PROF GERALDO COSTA ALVES,32038534,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RUBEM BRAGA, SN BOA VISTA II. 29102-640 Vila Velha - ES.",(27) 32395671,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-20.3547768,-40.3035877
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEET VASCO COUTINHO,32038569,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA LUCIANO DAS NEVES, SN CENTRO. 29100-200 Vila Velha - ES.",(27) 32299309,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Educação Profissional,,-20.3368439,-40.292869
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEM GODOFREDO SCHNEIDER,32038755,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BERNARD SCHNEIDER, SN CENTRO. 29100-170 Vila Velha - ES.",(27) 32293036,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.3296627,-40.2926359
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ADOLFINA ZAMPROGNO,32038852,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SEBASTIAO GAIBA, SN VILA GARRIDO. 29116-300 Vila Velha - ES.",(27) 33591303,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.3375636,-40.3371604
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEM DR FRANCISCO FREITAS LIMA,32038941,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ANTONIO ABRAAO, SN ILHA DAS FLORES. 29115-550 Vila Velha - ES.",(27) 32894295,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-20.3328604,-40.3344365
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEM BENICIO GONCALVES,32039085,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA SAO GABRIEL DA PALHA, SN VALE ENCANTADO. 29113-700 Vila Velha - ES.",(27) 33592899,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.3736894,-40.3505495
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEFMTI ASSISOLINA ASSIS ANDRADE,32039352,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SALVADOR, SN VILA VELHA. ARIBIRI. 29120-020 Vila Velha - ES.",(27) 33912904,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-20.3392717,-40.3232333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM CATHARINA CHEQUER,32039387,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ALECRIM, 217 NOVO MEXICO. 29104-100 Vila Velha - ES.",(27) 33997809,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.3686608,-40.3200622
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM FLORENTINO AVIDOS,32039409,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA VITORIA REGIA, SN IBES. 29108-660 Vila Velha - ES.",(27) 33190909,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.3531491,-40.3171178
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEFMTI PROFESSORA MAURA ABAURRE,32039417,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ONZE, S/N VILA NOVA. 29105-110 Vila Velha - ES.",(27) 32999654,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.3660674,-40.3134464
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM MARCILIO DIAS,32039565,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JAIME COUTINHO, SN BARRA DO JUCU. 29125-088 Vila Velha - ES.",(27) 32445546,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.4249101,-40.3268964
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM JUDITH DA SILVA GOES COUTINHO,32039603,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA JUDITH GOES COUTINHO, SN PONTA DA FRUTA. 29129-030 Vila Velha - ES.",(27) 32423354,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.5171539,-40.361287
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEFMTI GALDINO ANTONIO VIEIRA,32039727,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PAULO NEVES, SN SANTA RITA. 29118-590 Vila Velha - ES.",(27) 35350735,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-20.347439,-40.3303467
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEM ORMANDA GONCALVES,32039867,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA THADEU RAUTA, SN ESCOLA. NOVA AMERICA. 29111-065 Vila Velha - ES.",(27) 33265006,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-20.3467471,-40.3547719
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM SILVIO ROCIO,32039883,ES,Vila Velha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SANTA TEREZINHA, SN SAO TORQUATO. 29114-002 Vila Velha - ES.",(27) 32260738,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.3300292,-40.348825
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEJA DE VITORIA,32039972,ES,Vitória,Urbana,A escola não está em área de localização diferenciada,Pública,"LADEIRA SAO BENTO, 66 CENTRO. 29016-295 Vitória - ES.",(27) 32236429,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Educação de Jovens Adultos,,-20.3181496,-40.3355123
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEM COLEGIO ESTADUAL DO ESPIRITO SANTO,32040067,ES,Vitória,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA VITORIA, 550 FORTE SAO JOAO. 29017-027 Vitória - ES.",(27) 32235995,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.3182174,-40.3243934
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEM GOMES CARDIM,32040288,ES,Vitória,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA WILSON FREITAS, SN CENTRO. 29016-340 Vitória - ES.",(27) 992981429,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Médio,Atendimento Educacional Especializado,-20.3177567,-40.3301648
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM HILDEBRANDO LUCAS,32040300,ES,Vitória,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA MARUIPE, 1455 CASA. MARUIPE. 29043-213 Vitória - ES.",(27) 31007827,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação de Jovens Adultos,Atendimento Educacional Especializado,-20.2968979,-40.3161071
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM IRMA MARIA HORTA,32040334,ES,Vitória,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ALEIXO NETTO, 1060 PREDIO. PRAIA DO CANTO. 29055-260 Vitória - ES.",(27) 32271164,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-20.2980884,-40.2941857
